topology,D_m,L_m,spacing_D,H_kN,cycles,soil_k,eta_g,u_fem_anchor_mm,u_stress_mm,utilization,feasible,Vc_m3,Lt_m,Ac_m2,C_raw,C_norm,selected_candidate,candidate_id
2x2,0.75,14.0,3.0,100.0,100000,21224.958870,,4.829,12.613811,0.420460,yes,24.740042,56.000000,9.000000,28272.232875,28.272233,no,2x2_D0.75_L14_s3.0D
2x2,0.75,14.0,3.5,100.0,100000,21224.958870,,4.829,11.776750,0.392558,yes,24.740042,56.000000,11.390625,28499.342250,28.499342,no,2x2_D0.75_L14_s3.5D
2x2,0.75,14.0,4.0,100.0,100000,21224.958870,,4.829,11.205216,0.373507,yes,24.740042,56.000000,14.062500,28753.170375,28.753170,no,2x2_D0.75_L14_s4.0D
2x2,0.75,14.0,4.5,100.0,100000,21224.958870,,4.829,10.802272,0.360076,yes,24.740042,56.000000,17.015625,29033.717250,29.033717,no,2x2_D0.75_L14_s4.5D
2x2,0.75,16.0,2.5,100.0,100000,23090.714279,,4.829,13.048011,0.434934,yes,28.274334,64.000000,6.890625,31988.589803,31.988590,no,2x2_D0.75_L16_s2.5D
2x2,0.75,16.0,3.0,100.0,100000,23090.714279,,4.829,11.841410,0.394714,yes,28.274334,64.000000,9.000000,32188.980428,32.188980,no,2x2_D0.75_L16_s3.0D
2x2,0.75,16.0,3.5,100.0,100000,23090.714279,,4.829,11.055607,0.368520,yes,28.274334,64.000000,11.390625,32416.089803,32.416090,no,2x2_D0.75_L16_s3.5D
2x2,0.75,16.0,4.0,100.0,100000,23090.714279,,4.829,10.519070,0.350636,yes,28.274334,64.000000,14.062500,32669.917928,32.669918,no,2x2_D0.75_L16_s4.0D
2x2,0.75,16.0,4.5,100.0,100000,23090.714279,,4.829,10.140800,0.338027,yes,28.274334,64.000000,17.015625,32950.464803,32.950465,no,2x2_D0.75_L16_s4.5D
2x2,0.75,18.0,2.5,100.0,100000,24800.593100,,4.829,12.367325,0.412244,yes,31.808626,72.000000,6.890625,35905.337357,35.905337,no,2x2_D0.75_L18_s2.5D
2x2,0.75,18.0,3.0,100.0,100000,24800.593100,,4.829,11.223670,0.374122,yes,31.808626,72.000000,9.000000,36105.727982,36.105728,no,2x2_D0.75_L18_s3.0D
2x2,0.75,18.0,3.5,100.0,100000,24800.593100,,4.829,10.478861,0.349295,yes,31.808626,72.000000,11.390625,36332.837357,36.332837,no,2x2_D0.75_L18_s3.5D
2x2,0.75,18.0,4.0,100.0,100000,24800.593100,,4.829,9.970314,0.332344,yes,31.808626,72.000000,14.062500,36586.665482,36.586665,no,2x2_D0.75_L18_s4.0D
2x2,0.75,18.0,4.5,100.0,100000,24800.593100,,4.829,9.611777,0.320393,yes,31.808626,72.000000,17.015625,36867.212357,36.867212,no,2x2_D0.75_L18_s4.5D
2x2,0.75,20.0,2.5,100.0,100000,26364.246150,,4.829,11.813017,0.393767,yes,35.342917,80.000000,6.890625,39822.084910,39.822085,no,2x2_D0.75_L20_s2.5D
2x2,0.75,20.0,3.0,100.0,100000,26364.246150,,4.829,10.720621,0.357354,yes,35.342917,80.000000,9.000000,40022.475535,40.022476,no,2x2_D0.75_L20_s3.0D
2x2,0.75,20.0,3.5,100.0,100000,26364.246150,,4.829,10.009194,0.333640,yes,35.342917,80.000000,11.390625,40249.584910,40.249585,no,2x2_D0.75_L20_s3.5D
2x2,0.75,20.0,4.0,100.0,100000,26364.246150,,4.829,9.523440,0.317448,yes,35.342917,80.000000,14.062500,40503.413035,40.503413,no,2x2_D0.75_L20_s4.0D
2x2,0.75,20.0,4.5,100.0,100000,26364.246150,,4.829,9.180974,0.306032,yes,35.342917,80.000000,17.015625,40783.959910,40.783960,no,2x2_D0.75_L20_s4.5D
2x2,0.90,8.0,2.5,100.0,100000,15648.900359,,4.829,6.360730,0.212024,yes,20.357520,32.000000,9.922500,21461.503408,21.461503,no,2x2_D0.90_L8_s2.5D
2x2,0.90,8.0,3.0,100.0,100000,15648.900359,,4.829,5.772529,0.192418,yes,20.357520,32.000000,12.960000,21750.065908,21.750066,no,2x2_D0.90_L8_s3.0D
2x2,0.90,8.0,3.5,100.0,100000,15648.900359,,4.829,5.389460,0.179649,yes,20.357520,32.000000,16.402500,22077.103408,22.077103,no,2x2_D0.90_L8_s3.5D
2x2,0.90,8.0,4.0,100.0,100000,15648.900359,,4.829,5.127905,0.170930,yes,20.357520,32.000000,20.250000,22442.615908,22.442616,no,2x2_D0.90_L8_s4.0D
2x2,0.90,8.0,4.5,100.0,100000,15648.900359,,4.829,4.943504,0.164783,yes,20.357520,32.000000,24.502500,22846.603408,22.846603,no,2x2_D0.90_L8_s4.5D
2x2,0.90,10.0,2.5,100.0,100000,17370.730231,,4.829,11.740635,0.391355,yes,25.446900,40.000000,9.922500,26591.219885,26.591220,no,2x2_D0.90_L10_s2.5D
2x2,0.90,10.0,3.0,100.0,100000,17370.730231,,4.829,10.654933,0.355164,yes,25.446900,40.000000,12.960000,26879.782385,26.879782,no,2x2_D0.90_L10_s3.0D
2x2,0.90,10.0,3.5,100.0,100000,17370.730231,,4.829,9.947865,0.331595,yes,25.446900,40.000000,16.402500,27206.819885,27.206820,no,2x2_D0.90_L10_s3.5D
2x2,0.90,10.0,4.0,100.0,100000,17370.730231,,4.829,9.465087,0.315503,yes,25.446900,40.000000,20.250000,27572.332385,27.572332,no,2x2_D0.90_L10_s4.0D
2x2,0.90,10.0,4.5,100.0,100000,17370.730231,,4.829,9.124719,0.304157,yes,25.446900,40.000000,24.502500,27976.319885,27.976320,no,2x2_D0.90_L10_s4.5D
2x2,0.90,12.0,2.5,100.0,100000,19199.698429,,4.829,10.891416,0.363047,yes,30.536281,48.000000,9.922500,31720.936362,31.720936,no,2x2_D0.90_L12_s2.5D
2x2,0.90,12.0,3.0,100.0,100000,19199.698429,,4.829,9.884244,0.329475,yes,30.536281,48.000000,12.960000,32009.498862,32.009499,no,2x2_D0.90_L12_s3.0D
2x2,0.90,12.0,3.5,100.0,100000,19199.698429,,4.829,9.228320,0.307611,yes,30.536281,48.000000,16.402500,32336.536362,32.336536,no,2x2_D0.90_L12_s3.5D
